,winner,loser,score,season,date
241,N Dzhalil,Muminov Bahtiyar,6-4 6-4,Masters League Preseason 2025,2025-03-03
242,Mirzoev Suren,Pak Igor,8-3,Open League Preseason 2025,2025-03-03
243,Sadibekov Bulat,Morita Taisei,8-1,Open League Preseason 2025,2025-03-03
244,Shirinov Jahon,Kamilov Baxriddin,6-1 6-3,Masters League Preseason 2025,2025-03-04
245,Nazarov Sarvar,Ismailov Ziyodbek,8-1,Open League Preseason 2025,2025-03-05
246,Sadibekov Bulat,Khikmatov Shukhrat,9-7,Open League Preseason 2025,2025-03-06
247,Shirinov Jahon,Tadjiev Khamdam,6-3 6-0,Masters League Preseason 2025,2025-03-06
248,Mirzoev Suren,Choi Alexey,8-1,Open League Preseason 2025,2025-03-07
249,Mirzoev Suren,Nazarov Sarvar,8-3,Open League Preseason 2025,2025-03-07
250,Kim Radion,Tadjiev Khamdam,6-0 6-1,Masters League Preseason 2025,2025-03-07
251,Pankratov Vladimir,Pak Igor,8-3,Open League Preseason 2025,2025-03-09
252,Kamilov Baxriddin,Rogozin Anton,6-4 6-3,Masters League Preseason 2025,2025-03-09
253,Rogozin Anton,Shirinov Jahon,6-3 6-7 (5/7) [10/5],Masters League Preseason 2025,2025-03-10
254,Rogozin Anton,Kan Maksim,6-0 6-3,Masters League Preseason 2025,2025-03-12
255,Rogozin Anton,Kim Radion,6-2 6-3,Masters League Preseason 2025,2025-03-13
256,Mirzoev Suren,Sadibekov Bulat,8-1,Open League Preseason 2025,2025-03-15
257,Niyazov Zarrux,Rogozin Anton,6-4 4-6 [10/8],Masters League Preseason 2025,2025-03-15
258,Mirzoev Suren,Khikmatov Shukhrat,8-6,Open League Preseason 2025,2025-03-15
259,Shirinov Jahon,Kan Maksim,7-6 (9/7) 7-5,Masters League Preseason 2025,2025-03-16
260,Rashidov Amirkhan,Kan Maksim,6-1 6-2,Masters League Preseason 2025,2025-03-17
261,Sadibekov Bulat,Pankratov Vladimir,8-3,Open League Preseason 2025,2025-03-22
262,Shirinov Jahon,Rashidov Amirkhan,6-1 6-2,Masters League Preseason 2025,2025-03-22
263,Pankratov Vladimir,Ismailov Ziyodbek,8-0,Open League Preseason 2025,2025-03-23
264,Pankratov Vladimir,Morita Taisei,8-1,Open League Preseason 2025,2025-03-26
265,Pankratov Vladimir,Turabov Anvar,9-7,Open League Preseason 2025,2025-03-30
266,Kan Maksim,Kim Radion,2-6 6-4 6-2,Masters League Preseason 2025,2025-03-30
267,Pankratov Vladimir,Khikmatov Shukhrat,9-8,Open League Preseason 2025,2025-03-31
268,Razzakov Alisher,Kamilov Baxriddin,6-1 6-0,Masters League Preseason 2025,2025-03-31
269,Rogozin Anton,Rashidov Amirkhan,6-1 6-2,Masters League Preseason 2025,2025-03-31
270,Kan Maksim,Kamilov Baxriddin,6-1 1-6 6-3,Masters League Preseason 2025,2025-04-01
271,Tadjiev Khamdam,Rashidov Amirkhan,7-5 6-2,Masters League Preseason 2025,2025-04-01
272,Kamilov Baxriddin,Muminov Bahtiyar,6-4 2-6 [10/6],Masters League Preseason 2025,2025-04-01
273,Rogozin Anton,Tadjiev Khamdam,6-1 6-0,Masters League Preseason 2025,2025-04-03
274,Sadibekov Bulat,Turabov Anvar,8-5,Open League Preseason 2025,2025-04-04
275,Razzakov Alisher,Muminov Bahtiyar,6-0 6-0,Masters League Preseason 2025,2025-04-04
